"Kab_Kota","Y","X1","X2","X3","X4","X5"
"Cilacap","11.67","44.52","11.73","0.24","0.13","1.6"
"Banyumas","13.66","48.79","21.1","0.1","0.33","1.78"
"Purbalingga","16.24","50.5","13.67","0.19","0.35","0.6"
"Banjarnegara","16.23","40.52","9.29","0.62","0.24","0.75"
"Kebumen","17.83","53.29","12.14","0.13","0.38","0.9"
"Purworejo","12.4","40.33","20.86","0.04","0.2","0.57"
"Wonosobo","17.67","47.4","11.47","0","0","0.14"
"Magelang","11.91","40.65","13.73","1.19","0.15","0.72"
"Boyolali","10.62","41.61","20.4","0.18","0.27","1.43"
"Klaten","13.49","46.69","24.64","2.77","0.21","3.1"
"Sukoharjo","8.23","38.6","28.15","1.38","0.59","6.11"
"Wonogiri","11.55","44.23","14.98","1.32","0.17","1.92"
"Karanganyar","10.68","36.32","23.51","1","0.44","5.31"
"Sragen","13.83","30.05","18.08","3.05","0.1","1.33"
"Grobogan","12.74","44.81","11.51","81.65","0.35","1.09"
"Blora","12.39","38.27","15.27","0.08","0.58","0.15"
"Rembang","15.8","65.05","11.25","0.21","0.12","1.47"
"Pati","10.21","40.5","20.16","0.11","0.61","0.88"
"Kudus","7.6","32.2","40.15","10.78","0.25","1.19"
"Jepara","7.44","43.57","15.92","0.4","0.16","2.14"
"Demak","12.92","48.56","15.9","48.94","0.21","3.11"
"Semarang","7.82","30.06","29.47","38.31","0.21","1.1"
"Temanggung","10.17","43.77","10.68","0","0.27","0.11"
"Kendal","10.24","35.48","21.01","81.45","0.2","1.19"
"Batang","9.68","48.81","10.91","0.12","0.09","0.98"
"Pekalongan","10.57","48.36","11.9","0.37","0.24","0.95"
"Pemalang","16.56","47.22","13.53","0.45","0.12","0.27"
"Tegal","8.6","37.87","16.7","1.94","0.25","1.18"
"Brebes","17.43","55.99","11.27","0.16","0.08","0.69"
"Kota Magelang","7.75","49.03","39.82","0","0.92","1.84"
"Kota Surakarta","9.4","50.75","33.48","0.55","1.22","3.15"
"Kota Salatiga","5.14","39.86","42.81","6.49","1.72","3.99"
"Kota Semarang","4.56","33.39","43.26","40.31","2.13","4.56"
"Kota Pekalongan","7.59","44.07","24.73","0.98","0.64","2.24"
"Kota Tegal","8.12","40.49","27.73","0","0.76","2.85"
